Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q0105-BX89 26.21 0.52 24.95 0.1 24.44 0.1 23.99 0.1 23.37 0.1 22.98 0.1 22.66 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.228
Q0105-BX90 24.53 0.14 23.83 0.1 23.47 0.05 22.11 0.1 21.52 0.1 21.29 0.1 21.53 0.1 9999.0 9999.0 21.98 0.1 9999 9999.0 2.025
Q0105-BX91 23.78 0.12 23.23 0.1 23.06 0.06 22.36 0.1 22.12 0.1 22.14 0.1 21.55 0.1 9999.0 9999.0 22.75 0.1 9999 9999.0 2.028
Q0105-BX92 25.52 0.36 24.84 0.12 24.61 0.14 23.98 0.1 23.73 0.1 23.3 0.1 22.77 0.27 22.17 0.37 9999.0 9999.0 9999 9999.0 2.129
Q0105-BX93 23.87 0.1 23.41 0.1 23.25 0.05 22.77 0.1 22.36 0.1 22.21 0.1 22.03 0.1 9999.0 9999.0 22.54 0.1 9999 9999.0 2.03
Q0105-BX94 24.02 0.13 23.2 0.1 23.13 0.05 22.16 0.1 22.06 0.1 21.66 0.1 21.5 0.1 9999.0 9999.0 22.42 0.1 9999 9999.0 2.654
Q0105-BX95 25.37 0.32 24.55 0.1 24.24 0.11 23.37 0.1 22.54 0.1 22.28 0.1 22.25 0.12 9999.0 9999.0 22.85 0.1 9999 9999.0 2.031
Q0105-BX97 25.88 0.4 24.93 0.1 24.64 0.13 23.61 0.1 23.36 0.1 22.87 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 1.913
Q0105-BX98 26.25 0.64 25.5 0.2 25.05 0.22 23.18 0.1 22.33 0.1 22.03 0.1 10.87 0.0 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.163
Q0105-BX99 25.46 0.29 25.05 0.12 24.84 0.16 23.71 0.1 23.08 0.1 22.77 0.1 22.37 0.14 21.82 0.25 9999.0 9999.0 9999 9999.0 1.888
Q0105-C10 27.42 9999.0 25.87 0.21 25.12 0.17 24.59 0.1 23.9 0.1 23.77 0.1 23.52 0.15 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.87
Q0105-C11 26.87 9999.0 25.33 0.23 24.64 0.22 24.06 0.1 23.96 0.15 23.41 0.1 22.77 0.17 9999.0 9999.0 9999.0 9999.0 9999 9999.0 2.122
