Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err Redshift
Q0821-BX77 24.82 0.1 24.25 0.1 23.97 0.1 23.99 0.1 23.35 0.1 23.97 0.33 9999.0 9999.0 9999.0 9999.0 2.294
Q0821-BX78 24.64 0.1 24.07 0.1 23.93 0.1 23.1 0.1 22.78 0.1 23.25 0.35 9999.0 9999.0 9999.0 9999.0 1.849
Q0821-BX79 25.57 0.1 24.74 0.13 24.55 0.1 23.68 0.1 23.34 0.1 23.08 0.25 9999.0 9999.0 9999.0 9999.0 1.941
Q0821-BX80 25.55 0.1 24.85 0.13 24.5 0.1 24.14 0.1 23.26 0.1 23.14 0.29 9999.0 9999.0 9999.0 9999.0 2.445
Q0821-BX81 25.54 0.1 25.07 0.14 24.97 0.1 24.65 0.1 23.83 0.1 23.08 0.2 21.79 0.36 9999.0 9999.0 2.185
Q0821-BX84 25.91 0.1 24.74 0.12 24.68 0.1 23.82 0.1 23.44 0.1 22.71 0.1 9999.0 9999.0 9999.0 9999.0 1.972
Q0821-BX85 27.22 0.31 25.75 0.28 25.44 0.12 25.34 0.15 25.26 0.2 24.08 0.27 9999.0 9999.0 9999.0 9999.0 2.554
Q0821-BX87 25.26 0.1 24.43 0.1 24.15 0.1 22.71 0.1 22.01 0.1 21.37 0.1 9999.0 9999.0 9999.0 9999.0 1.846
Q0821-BX88 25.58 0.1 24.67 0.1 24.34 0.1 24.25 0.1 24.82 0.14 9999.0 9999.0 9999.0 9999.0 24.25 0.1 2.151
Q0821-BX92 26.08 0.1 25.18 0.15 24.93 0.1 25.05 0.12 24.91 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.416
Q0821-BX95 26.75 0.2 25.46 0.21 25.25 0.1 24.48 0.1 23.62 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.217
Q0821-BX97 23.88 0.1 23.14 0.1 23.39 0.1 22.3 0.1 22.16 0.1 21.69 0.13 9999.0 9999.0 9999.0 9999.0 1.638
Q0821-C10 28.45 9999.0 25.49 0.24 24.53 0.1 24.11 0.1 23.29 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.896
Q0821-C12 28.68 9999.0 25.04 0.15 24.32 0.1 24.03 0.1 23.72 0.1 22.95 0.1 9999.0 9999.0 23.81 0.1 2.932
Q0821-C14 28.38 0.84 25.63 0.22 24.71 0.1 24.05 0.1 23.11 0.1 22.36 0.13 9999.0 9999.0 9999.0 9999.0 2.825
Q0821-C16 28.46 9999.0 26.26 0.43 25.55 0.1 24.62 0.1 23.63 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.917
Q0821-C17 27.99 9999.0 23.83 0.1 22.93 0.1 22.55 0.1 21.69 0.1 22.34 0.18 9999.0 9999.0 9999.0 9999.0 3.162
Q0821-C20 28.27 9999.0 24.69 0.12 24.0 0.1 24.07 0.1 23.51 0.1 23.24 0.29 9999.0 9999.0 9999.0 9999.0 3.016
Q0821-C21 29.66 9999.0 24.77 0.11 24.09 0.1 23.83 0.1 22.85 0.1 24.01 0.15 9999.0 9999.0 9999.0 9999.0 3.202
Q0821-C23 30.16 9999.0 25.44 0.18 24.89 0.1 24.87 0.11 23.79 0.1 9999.0 9999.0 9999.0 9999.0 24.45 0.1 2.968
Q0821-C24 30.52 9999.0 25.27 0.25 24.9 0.1 24.84 0.12 23.74 0.1 9999.0 9999.0 9999.0 9999.0 26.05 0.12 3.172
Q0821-C25 28.46 9999.0 25.75 0.23 24.64 0.1 24.29 0.1 23.17 0.1 9999.0 9999.0 9999.0 9999.0 24.05 0.1 3.134
Q0821-C3 28.14 0.75 24.9 0.13 24.24 0.1 23.86 0.1 23.01 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.176
Q0821-C4 28.51 9999.0 24.84 0.16 24.04 0.1 99.0 9999.0 22.74 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.345
Q0821-C5 28.16 9999.0 25.46 0.18 24.85 0.1 24.21 0.1 24.46 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.175
Q0821-C6 29.39 9999.0 25.71 0.23 24.69 0.1 24.35 0.1 23.42 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.173
Q0821-C8 28.61 1.07 25.36 0.18 24.64 0.1 24.33 0.1 25.32 0.1 23.76 0.34 9999.0 9999.0 9999.0 9999.0 2.981
Q0821-C9 28.1 9999.0 25.48 0.22 24.88 0.1 24.71 0.1 24.11 0.1 23.48 0.41 9999.0 9999.0 9999.0 9999.0 3.095
Q0821-D10 26.8 0.18 24.88 0.1 24.96 0.1 24.48 0.1 23.65 0.1 23.23 0.24 9999.0 9999.0 24.06 0.1 2.518
Q0821-D12 26.51 0.27 24.71 0.12 24.59 0.1 23.97 0.1 23.72 0.11 22.32 0.19 9999.0 9999.0 25.8 0.1 2.758
Q0821-D15 25.85 0.12 23.86 0.1 23.87 0.1 23.39 0.1 23.37 0.1 21.54 0.12 9999.0 9999.0 9999.0 9999.0 2.858
Q0821-D19 27.78 0.5 25.1 0.17 24.27 0.1 23.85 0.1 23.28 0.1 22.43 0.16 9999.0 9999.0 9999.0 9999.0 2.893
Q0821-D2 27.8 0.51 25.58 0.21 25.0 0.1 24.55 0.1 23.52 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.86
Q0821-D21 25.97 0.22 24.32 0.13 23.98 0.1 23.21 0.1 22.72 0.1 23.08 0.2 9999.0 9999.0 9999.0 9999.0 2.845
Q0821-D27 26.91 0.3 24.67 0.17 24.15 0.1 23.88 0.1 23.69 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.741
Q0821-D5 26.4 0.15 24.27 0.1 23.77 0.1 23.58 0.1 22.87 0.1 22.85 0.18 9999.0 9999.0 9999.0 9999.0 2.762
Q0821-D6 27.82 0.63 25.23 0.22 24.88 0.1 24.21 0.1 23.71 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.785
Q0821-D7 27.78 0.45 25.03 0.13 24.69 0.1 24.79 0.1 24.36 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.952
Q0821-D8 27.8 0.53 25.17 0.17 24.8 0.1 23.89 0.1 22.64 0.1 22.11 0.13 9999.0 9999.0 9999.0 9999.0 2.568
Q0821-D8-CS9 23.73 0.1 23.47 0.1 22.85 0.1 21.68 0.1 21.31 0.1 21.13 0.1 9999.0 9999.0 9999.0 9999.0 0.931
Q0821-D9 26.46 0.13 24.6 0.1 24.61 0.1 24.66 0.1 24.95 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.819
Q0821-M14 9999.0 9999.0 24.62 0.19 25.11 0.1 24.75 0.11 24.09 0.1 21.89 0.15 9999.0 9999.0 25.01 0.1 3.09
Q0821-M8 9999.0 9999.0 26.22 0.41 25.23 0.1 25.38 0.14 24.05 0.1 9999.0 9999.0 9999.0 9999.0 24.89 0.1 3.174
Q0821-MD10 26.65 0.21 24.79 0.13 24.09 0.1 23.8 0.1 23.19 0.1 23.31 0.36 9999.0 9999.0 9999.0 9999.0 2.628
Q0821-MD16 27.55 0.37 25.48 0.2 25.04 0.1 24.41 0.1 23.11 0.1 22.38 0.13 9999.0 9999.0 9999.0 9999.0 2.549
Q0821-MD19 28.59 0.61 25.64 0.24 24.86 0.1 25.12 0.14 23.8 0.1 23.83 0.22 9999.0 9999.0 9999.0 9999.0 3.083
Q0821-MD20 27.99 0.59 25.54 0.27 24.68 0.1 23.93 0.1 23.76 0.1 9999.0 9999.0 9999.0 9999.0 24.06 0.1 2.364
Q0821-MD21 28.01 9999.0 25.76 0.26 25.42 0.1 24.81 0.1 24.9 0.12 9999.0 9999.0 9999.0 9999.0 24.7 0.1 3.159
Q0821-MD30 26.54 0.17 24.82 0.11 24.35 0.1 24.1 0.1 23.77 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.755
Q0821-MD32 24.47 0.1 22.89 0.1 21.26 0.1 21.9 0.1 21.73 0.1 22.16 0.17 9999.0 9999.0 24.27 0.1 2.54
Q0821-MD36 25.76 0.1 24.63 0.1 24.48 0.1 24.97 0.1 24.12 0.1 9999.0 9999.0 9999.0 9999.0 24.19 0.1 2.583
Q0821-MD36-CS2 23.02 0.1 23.13 0.1 22.53 0.1 21.39 0.1 20.74 0.1 20.5 0.1 9999.0 9999.0 21.3 0.1 1.137
Q0821-MD36-CS7 23.25 0.1 23.02 0.1 22.76 0.1 21.83 0.1 21.55 0.1 21.66 0.1 9999.0 9999.0 21.99 0.1 2.22
Q0821-MD38 27.17 0.33 25.61 0.22 25.3 0.1 23.8 0.1 23.07 0.1 22.34 0.1 9999.0 9999.0 23.41 0.1 2.092
Q0821-MD4 27.09 0.38 24.67 0.15 24.19 0.1 23.46 0.1 22.76 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.208
Q0821-MD40 27.03 0.32 25.05 0.17 24.29 0.1 23.53 0.1 22.95 0.1 21.54 0.1 9999.0 9999.0 24.01 0.1 3.325
Q0821-MD40-CS1 23.91 0.1 23.87 0.1 23.24 0.1 21.88 0.1 21.22 0.1 20.92 0.1 9999.0 9999.0 21.8 0.1 1.137
Q0821-MD40-CS6 24.86 0.1 24.7 0.11 23.94 0.1 22.68 0.1 21.9 0.1 20.99 0.1 9999.0 9999.0 22.45 0.1 1.137
Q0821-MD41 26.95 0.26 25.01 0.16 24.44 0.1 23.7 0.1 22.88 0.1 22.61 0.12 9999.0 9999.0 23.58 0.1 2.524
Q0821-MD44 27.84 0.55 25.97 0.29 25.05 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.602
Q0821-MD5 25.52 0.1 24.26 0.1 24.32 0.1 25.51 0.2 24.21 0.11 9999.0 9999.0 22.46 0.28 9999.0 9999.0 2.537
Q0821-MD7 26.93 0.24 25.49 0.26 25.23 0.1 24.12 0.1 22.81 0.1 22.02 0.1 21.87 0.34 9999.0 9999.0 2.35
Q0821-MD9 26.84 0.27 25.25 0.18 24.64 0.1 24.76 0.1 23.96 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.755
Q0821-Q0821 18.26 0.1 17.56 0.1 17.4 0.1 16.3 0.1 16.39 0.1 16.19 0.0 9999.0 9999.0 16.42 0.1 2.616
Q0821-RK107 27.39 0.38 25.5 0.34 25.11 0.11 24.14 0.1 22.85 0.1 21.55 0.1 9999.0 9999.0 24.21 0.1 2.444
Q0821-RK110 25.81 0.1 25.25 0.17 24.74 0.1 23.17 0.1 22.2 0.1 21.04 0.1 9999.0 9999.0 9999.0 9999.0 1.683
Q0821-RK115 27.05 0.23 25.78 0.31 25.36 0.11 24.09 0.1 23.36 0.1 22.51 0.11 9999.0 9999.0 23.58 0.1 1.642
Q0821-RK119 26.06 0.13 24.97 0.17 24.54 0.1 23.55 0.1 22.58 0.1 22.27 0.1 9999.0 9999.0 9999.0 9999.0 2.397
Q0821-RK124 26.98 0.21 25.69 0.25 25.1 0.1 24.36 0.1 23.29 0.1 22.59 0.24 9999.0 9999.0 9999.0 9999.0 2.424
Q0821-RK126 26.24 0.11 25.58 0.21 24.96 0.1 23.59 0.1 22.92 0.1 23.13 0.25 9999.0 9999.0 9999.0 9999.0 1.501
Q0821-RK131 26.47 0.13 25.31 0.12 24.45 0.1 24.32 0.1 22.37 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.616
Q0821-RK135 26.67 0.16 25.56 0.23 25.24 0.1 24.6 0.1 23.48 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.598
Q0821-RK19 27.05 0.28 25.6 0.3 25.12 0.1 24.34 0.1 23.08 0.1 22.4 0.1 9999.0 9999.0 9999.0 9999.0 2.407
Q0821-RK27 27.33 0.25 25.87 0.27 25.35 0.1 24.97 0.1 23.7 0.1 23.21 0.1 9999.0 9999.0 9999.0 9999.0 2.449
Q0821-RK29 25.72 0.1 24.5 0.1 23.92 0.1 22.96 0.1 22.16 0.1 21.48 0.11 9999.0 9999.0 22.84 0.1 2.468
Q0821-RK5 26.1 0.12 25.24 0.18 24.44 0.1 22.22 0.1 20.91 0.1 19.92 0.1 18.95 0.1 9999.0 9999.0 2.183
