Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q0449-M5 26.94 9999.0 26.36 0.63 25.12 0.18 25.38 0.13 24.76 0.12 24.7 0.11 9999.0 9999.0 9999.0 9999.0 25.18 0.1 25.1 0.1 3.564
Q0449-M9 27.12 9999.0 25.99 0.59 25.08 0.18 24.34 0.1 23.6 0.1 24.38 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.986
Q0449-MD11 25.9 9999.0 24.78 0.22 24.65 0.15 25.52 0.22 24.59 0.15 24.1 0.1 24.39 0.37 9999.0 9999.0 9999.0 9999.0 24.45 0.1 2.716
Q0449-MD12 26.19 9999.0 25.44 0.3 24.75 0.16 24.05 0.1 24.33 0.1 24.09 0.1 9999.0 9999.0 9999.0 9999.0 24.3 0.1 9999.0 9999.0 2.646
Q0449-MD13 26.27 9999.0 25.43 0.28 25.27 0.21 24.41 0.1 23.85 0.1 23.62 0.1 23.44 0.24 9999.0 9999.0 24.13 0.1 24.09 0.1 2.336
Q0449-MD14 25.49 9999.0 23.71 0.19 23.66 0.07 23.17 0.1 22.48 0.1 22.51 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.652
Q0449-MD15 26.09 0.85 24.35 0.13 23.94 0.08 23.49 0.1 23.43 0.1 23.51 0.1 22.77 0.1 9999.0 9999.0 23.59 0.1 9999.0 9999.0 2.683
Q0449-MD17 26.09 9999.0 25.7 0.65 24.9 0.19 24.82 0.13 24.82 0.21 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.946
Q0449-MD19 26.03 1.0 24.65 0.22 24.29 0.13 23.32 0.1 22.81 0.1 22.4 0.1 21.9 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.317
Q0449-MD2 26.01 9999.0 24.99 0.25 24.57 0.14 24.59 0.1 23.61 0.1 23.54 0.1 23.56 0.35 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.708
Q0449-MD21 25.81 9999.0 25.44 0.49 24.51 0.13 23.55 0.1 22.81 0.1 22.92 0.1 21.36 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.675
Q0449-MD24 25.68 0.73 23.88 0.11 24.06 0.1 23.53 0.1 23.09 0.1 23.51 0.1 23.44 0.21 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.483
Q0449-MD26 26.16 9999.0 25.3 0.3 24.83 0.16 24.28 0.1 23.73 0.1 23.56 0.1 23.57 0.26 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.518
Q0449-MD27 26.67 9999.0 25.47 0.38 24.68 0.14 24.6 0.1 23.83 0.1 23.72 0.1 23.39 0.22 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.98
Q0449-MD5 26.17 9999.0 25.2 0.25 24.86 0.19 24.79 0.1 24.2 0.1 23.86 0.1 23.65 0.27 19.19 0.1 9999.0 9999.0 9999.0 9999.0 2.836
Q0449-MD6 25.2 9999.0 24.25 0.37 22.82 0.13 23.9 0.14 23.74 0.2 22.62 0.1 22.8 0.24 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.278
Q0449-MD7 26.14 0.94 24.78 0.21 24.7 0.16 23.91 0.1 23.06 0.1 22.84 0.1 22.61 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.228
Q0449-MD8 26.13 0.69 25.25 0.24 25.49 0.24 26.35 0.26 25.55 0.11 25.12 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.536
Q0449-MD9 24.16 0.3 22.78 0.1 25.36 0.26 24.88 0.1 24.84 0.14 24.3 0.1 22.47 0.13 9999.0 9999.0 25.23 0.1 9999.0 9999.0 3.408
Q0449-Q0449 18.26 0.1 17.52 0.1 17.69 0.0 17.54 0.1 17.02 0.1 17.3 0.1 16.9 0.0 9999.0 9999.0 17.33 0.1 17.35 0.1 2.684
Q0449-RK10 26.17 9999.0 25.73 0.45 24.97 0.22 24.32 0.1 23.12 0.1 22.88 0.1 22.57 0.14 9999.0 9999.0 23.85 0.1 23.23 0.1 1.72
Q0449-RK103 26.03 0.88 25.36 0.37 25.06 0.2 22.68 0.1 22.08 0.1 21.79 0.1 21.21 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.3
Q0449-RK110 26.43 0.87 25.71 0.35 25.51 0.25 24.11 0.1 23.63 0.1 23.22 0.1 22.91 0.28 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.4
Q0449-RK115 25.61 0.99 24.59 0.3 22.81 0.16 23.28 0.1 22.72 0.1 22.82 0.1 22.38 0.13 9999.0 9999.0 24.35 26.61 9999.0 9999.0 2.472
Q0449-RK12 26.76 9999.0 25.34 0.46 24.87 0.18 24.67 0.11 24.91 0.19 23.27 0.1 23.7 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.046
Q0449-RK15 25.59 0.51 25.15 0.27 24.93 0.16 23.48 0.1 23.21 0.1 23.02 0.1 22.95 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.387
Q0449-RK4 26.11 9999.0 25.98 0.48 25.29 0.23 22.39 0.1 21.81 0.1 22.06 0.1 21.73 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.527
Q0449-RK6 25.63 0.55 24.85 0.21 24.32 0.12 22.41 0.1 21.87 0.1 21.76 0.1 21.12 0.1 9999.0 9999.0 9999.0 9999.0 22.09 0.1 1.601
