,id,RA,Dec,z,area,Un_fiso,Un_eiso,Un_cmbfiso,Un_cmbeiso,G_fiso,G_eiso,G_cmbfiso,G_cmbeiso,R_fiso,R_eiso,R_cmbfiso,R_cmbeiso,J_fiso,J_eiso,J_cmbfiso,J_cmbeiso,H_fiso,H_eiso,H_cmbfiso,H_cmbeiso,K_fiso,K_eiso,K_cmbfiso,K_cmbeiso,IRAC1_fiso,IRAC1_eiso,IRAC1_cmbfiso,IRAC1_cmbeiso,IRAC2_fiso,IRAC2_eiso,IRAC2_cmbfiso,IRAC2_cmbeiso,IRAC3_fiso,IRAC3_eiso,IRAC3_cmbfiso,IRAC3_cmbeiso,F110_fiso,F110_eiso,F110_cmbfiso,F110_cmbeiso,F140_fiso,F140_eiso,F140_cmbfiso,F140_cmbeiso,F160_fiso,F160_eiso,F160_cmbfiso,F160_cmbeiso
10,BX587,356.6216402,12.8175983,2.2427,170,0.4122311173312903,0.0397468826972175,0.4122311173312903,0.0397468826972175,1.2334108917988775,0.0725687263476452,1.2334108917988775,0.0725687263476452,1.6005265164330935,0.0431381266279102,1.6005265164330935,0.0431381266279102,2.9467419468206115,0.197132398428502,2.818118294110324,0.1984625103962707,4.582743722922628,0.4065250093982282,4.247444715418226,0.410106049985753,5.438090066331465,0.8908378961004227,4.8638853588683695,0.8908378961004227,0.0,9.9e+99,0.0,9.9e+99,7.002534422959051,0.8425103238222389,6.965253310048677,0.8425712201573138,0.0,9.9e+99,0.0,9.9e+99,1.122203287842448,0.0,1.0751433313000085,0.0,3.639172102692755,0.1034408144812234,3.5132469681548235,0.1050041246670608,4.730600933984325,0.0865306128255363,4.38825635347204,0.1023873061027803
11,BX350,356.6230078,12.7867139,2.576,68,0.1200100364019064,0.024066473056492,0.1200100364019064,0.024066473056492,0.3708010120129893,0.0356547537526407,0.3708010120129893,0.0356547537526407,0.476143621102408,0.0293569932057306,0.476143621102408,0.0293569932057306,0.409303353603352,0.1957139748436634,0.3538434008517547,0.1959604595080888,0.5029609513654045,0.4591992593761701,0.3006138858867754,0.4591992593761701,1.124630633235144,0.604013244402165,1.1193796233359756,0.604013244402165,0.0,9.9e+99,0.0,9.9e+99,1.0326505735095417,0.214671855852772,1.0042098146583631,0.214671855852772,0.0,9.9e+99,0.0,9.9e+99,0.5226510931310805,0.0702240888590888,0.5025280342958077,0.0703144854688763,0.7835651138795212,0.0438960086238564,0.7491187008080634,0.0443179960666504,-3.152867693674116e-05,0.0,-3.546938302378072e-05,0.0
12,MD41,356.5954416,12.7795188,2.3402,202,0.2334709028015001,0.0506249844577467,0.2334709028015001,0.0506249844577467,0.5914715323219996,0.0617471468483462,0.5914715323219996,0.0617471468483462,0.8097073259828006,0.0472261127024403,0.8097073259828006,0.0472261127024403,2.3483416097494145,0.2847497085836211,2.174059099261801,0.2864167924274976,3.352767656567057,0.4514902149110583,2.978038903197104,0.4556530489523105,4.51266049751331,0.9416252622244264,3.4924798993758004,0.9508612898746168,0.0,9.9e+99,0.0,9.9e+99,4.956396977381374,0.5833189428048106,4.873856752921002,0.5833189428048106,0.0,9.9e+99,0.0,9.9e+99,-7.752465047468067e-05,0.0,-0.0619700992630574,0.0,2.8004183492640893,0.1141512407383595,2.693847898051977,0.1156976332957091,0.013888941582829,0.0,-0.3357095626450308,0.0
13,BX461,356.637366,12.8023335,2.5662,92,0.1288982267971202,0.0263763103217993,0.1288982267971202,0.0263763103217993,0.426211349474621,0.0350975840580442,0.426211349474621,0.0350975840580442,0.5882796673781536,0.0338940742680676,0.5882796673781536,0.0338940742680676,1.1267304110038152,0.1692052522062234,0.9868772862480552,0.1712113034178696,1.3374168778907911,0.328195345308152,0.9335922974395936,0.328195345308152,1.885486588417007,0.6300287304022048,1.8699008695216113,0.6300287304022048,0.0,9.9e+99,0.0,9.9e+99,3.0909407908222746,0.2580818771438652,2.9858269038076464,0.2580818771438652,0.0,9.9e+99,0.0,9.9e+99,0.9320082802720416,0.0685813668528627,0.8811845340444159,0.069236531295434,1.3575133660961984,0.0435653438464351,1.2699058857331122,0.0465417214865764,-0.0016793908650282,0.0,-0.0016910760454477,0.0
14,BX628,356.6332637,12.8242678,2.2794,63,0.211882999328619,0.0202339375182566,0.211882999328619,0.0202339375182566,0.4518508782119234,0.0305632833687557,0.4518508782119234,0.0305632833687557,0.499221975977877,0.0286047847650461,0.499221975977877,0.0286047847650461,0.699108962442681,0.1312394952287062,0.6346962135641195,0.1320839843492007,1.3216304293385868,0.2627760403913584,0.7478761650080746,0.2809935517642044,0.747824573309811,0.6085389121030744,0.5134337217233826,0.6085389121030744,0.0,9.9e+99,0.0,9.9e+99,1.276704350253969,0.1197083928049624,1.236382164502809,0.1197083928049624,0.0,9.9e+99,0.0,9.9e+99,4.341902905919088e-06,0.0,-0.0219115452795464,0.0,0.8728516682133024,0.0337173197554208,0.8118423266587199,0.0353183838210211,1.2886337790149736,0.0523984774566882,0.7370499722898198,0.107523181705162
15,fC23,356.6071486,12.82825,2.1725,52,0.0955919400344282,0.0391303420445092,0.0955919400344282,0.0391303420445092,0.2184819645156585,0.0527683640579325,0.2184819645156585,0.0527683640579325,0.0899301957460581,0.1034504193128053,0.0899301957460581,0.1034504193128053,0.511212086376569,0.1085324672210916,0.4383136162435597,0.1399738253324556,0.7413254913753764,0.2446059467859953,0.5951120500264755,0.2458277570402778,0.2790836839590327,0.5381574158101821,0.2202994064830504,0.5381574158101821,0.0,9.9e+99,0.0,9.9e+99,1.3338306142329523,0.2568020822846166,1.320989232412032,0.2568020822846166,0.0,9.9e+99,0.0,9.9e+99,2.983454511561046e-10,0.0,2.7897946159448697e-10,0.0,0.5675791201627243,0.0402661205651291,0.4741318831884,0.0433525785948358,-0.0075183191191198,0.0,-0.0058120117646649,0.0
16,NB2929,356.637644,12.8168207,2.5456,24,0.060126294191636,0.0233881487453867,0.060126294191636,0.0233881487453867,0.1275384988849599,0.0318478632092334,0.1275384988849599,0.0318478632092334,0.1331757983269043,0.0282598312905317,0.1331757983269043,0.0282598312905317,0.0782749966379899,0.1191090699415915,0.0782749966379899,0.1191090699415915,0.2215813469547263,0.3072314420882631,0.2215813469547263,0.3072314420882631,0.1257939431245403,0.6133404485333629,0.1257939431245403,0.6133404485333629,0.0,9.9e+99,0.0,9.9e+99,0.002830547013596,0.1467588248476943,0.002830547013596,0.1467588248476943,0.0,9.9e+99,0.0,9.9e+99,-5.571291671490817e-05,0.0,-5.571291671490817e-05,0.0,0.1955804761327596,0.031274182453976,0.1955804761327596,0.031274182453976,0.1968822668523457,0.0525868140208548,0.1968822668523457,0.0525868140208548
17,fBM47,356.6363206,12.8223559,2.2777,69,0.1632315590820893,0.0259005980214085,0.1632315590820893,0.0259005980214085,0.3049843610377429,0.0395930721380544,0.3049843610377429,0.0395930721380544,0.3164133742869648,0.0346693199383048,0.3164133742869648,0.0346693199383048,0.5374684126938227,0.1659771860066088,0.4521358583634449,0.1945623619471501,0.5783983025225644,0.3160764450404052,0.4229033517923908,0.3165825913365776,-0.3283746469978747,0.7636407888120357,-0.2590560851996671,0.7636407888120357,0.0,9.9e+99,0.0,9.9e+99,0.4097467443559194,0.1598746360020271,0.4082236892708709,0.1598746360020271,0.0,9.9e+99,0.0,9.9e+99,7.089413116097169e-06,0.0,6.576468461933531e-06,0.0,0.6646859177849179,0.0425690454010743,0.5973224053135195,0.0818371050013227,0.6933633200139097,0.056305873945754,0.4962938632652265,0.0603752032524006
18,D19,356.6015416,12.7856063,2.5717,104,0.0739500231584505,0.0323668584584592,0.0739500231584505,0.0323668584584592,0.3901655160639425,0.0427774276353219,0.3901655160639425,0.0427774276353219,0.6088067609925899,0.0349617390471836,0.6088067609925899,0.0349617390471836,1.156669862925392,0.2022014415900793,1.0669265888165174,0.2029151932468935,0.8841345159718818,0.4802189874386051,0.8407534241552823,0.4802189874386051,2.636765508439495,0.6909838465397127,2.6347546735042946,0.690983903269019,0.0,9.9e+99,0.0,9.9e+99,3.4075032509331993,0.2123121721833067,3.3861422725047423,0.212312172797296,0.0,9.9e+99,0.0,9.9e+99,0.8706459058801373,0.1061056507750577,0.8379282909697261,0.106286615321652,1.5856267151636223,0.0633566567365939,1.5295030630773334,0.0642427572013824,1.850197650995007,0.0680907456746767,1.8501867335958528,0.0680907456901987
19,D40,356.5949639,12.8255767,2.96,71,0.0102497662059548,0.0266385518245459,0.0102497662059548,0.0266385518245459,0.4146960397846427,0.0347011671412826,0.4146960397846427,0.0347011671412826,0.5900086484997599,0.0304266403569827,0.5900086484997599,0.0304266403569827,0.3418968793951062,0.0,0.3418968793951062,0.0,0.9726002029512284,0.3398084984233899,0.9067547136076086,0.3400160197356238,1.026060704201048,0.6636433929547433,0.8056260686174256,0.6636433929547433,0.0,9.9e+99,0.0,9.9e+99,0.9052667762780252,0.1440988315139726,0.8262620189342358,0.1440988315139726,0.0,9.9e+99,0.0,9.9e+99,1.5071327762583813e-12,0.0,1.5071327762583813e-12,0.0,0.7474214139771093,0.0375708426784789,0.7016485580228508,0.0384674347506243,5.054166651374773e-05,0.0,-0.0807716338427723,0.0
20,C31,356.6395343,12.807401,3.0573,88,0.0112103725640463,0.027880198219506,0.0112103725640463,0.027880198219506,0.3365264811381708,0.0386175638674996,0.3365264811381708,0.0386175638674996,0.587549796232674,0.0363119370839434,0.587549796232674,0.0363119370839434,0.9002522903962701,0.1652292310794355,0.9002522903962701,0.1652292310794355,1.3345319619924696,0.3538765086253968,1.2371721681820862,0.3543128303192808,1.307157926559122,0.7596878667393469,0.9549843874746846,0.7596878667393469,0.0,9.9e+99,0.0,9.9e+99,1.2671137172424842,0.2059727492879351,1.2231571749920158,0.2059727492879351,0.0,9.9e+99,0.0,9.9e+99,0.6219373335123878,0.0934765573380826,0.6219373335123878,0.0934765573380826,0.9177304943015352,0.0433537643456696,0.8552345571208798,0.0447979288119919,-0.0212040239978099,0.0,-0.1320770922741031,0.0
21,BX216,356.6278026,12.7699214,2.0852,111,0.4023595749163312,0.0291847967756332,0.4023595749163312,0.0291847967756332,0.5535836773104371,0.0402386156565549,0.5535836773104371,0.0402386156565549,0.5222181443548711,0.0393286235236224,0.5222181443548711,0.0393286235236224,0.8354212261726589,0.1929159519358836,0.8210602946564621,0.1931464227746158,0.928235985967879,0.3723093767529213,0.8075069139392292,0.3738442807290881,0.8411936777537722,0.7100269753267244,0.5972012850283859,0.7100269753267244,0.0,9.9e+99,0.0,9.9e+99,0.3616696448891902,0.9069440085428112,0.3607362065718992,0.9069440085428112,0.0,9.9e+99,0.0,9.9e+99,1.1132452814822165,0.0998486319323508,1.099207793570803,0.1002650462801565,1.2470312288119645,0.0677420813302353,1.172688841449316,0.0708198825641888,9.353977066318095e-15,0.0,-0.1292829992297145,0.0
22,BM118,356.584293,12.7952094,1.2987,124,0.2661623140202033,0.0333476787222891,0.2661623140202033,0.0333476787222891,0.3492189699159995,0.0386655429111118,0.3492189699159995,0.0386655429111118,0.5995185024414778,0.0330955374356064,0.5995185024414778,0.0330955374356064,1.8947150905976584,0.1579512832515256,1.8947150905976584,0.1579512832515256,3.17772365826385,0.3890450773833246,3.17772365826385,0.3890450773833246,3.577830067754254,0.6230851077493441,3.577830067754254,0.6230851077493441,0.0,9.9e+99,0.0,9.9e+99,6.620327464753097,0.4119852689418823,6.620327464753097,0.4119852689418823,0.0,9.9e+99,0.0,9.9e+99,2.543131006405337e-07,0.0,2.543131006405337e-07,0.0,2.5979341362277224,0.0599685886595927,2.5979341362277224,0.0599685886595927,3.0245097548219073,0.0754437961117264,3.0245097548219073,0.0754437961117264
23,BX429,356.6052765,12.7973838,2.1751,142,0.1429694505377632,0.0500905845439686,0.1429694505377632,0.0500905845439686,0.4665966309253432,0.05920075352973,0.4665966309253432,0.05920075352973,0.5317372365451666,0.0461745034423402,0.5317372365451666,0.0461745034423402,0.8031319781834042,0.2133439236489316,0.6883945410095125,0.2143319808220261,1.742330620878131,0.4520639274331492,1.6133023075701958,0.4525044604218736,3.305393393221474,0.8613920364491968,2.439004648948884,0.8613920364491968,0.0,9.9e+99,0.0,9.9e+99,2.8153391869055344,0.3892266016080571,2.7839622921362666,0.3892266016080571,0.0,9.9e+99,0.0,9.9e+99,0.0388048875224511,0.0,-0.0009299923103101,0.0,1.639928548597388,0.0643756649114837,1.5664967523024769,0.0653157180446665,1.893110139970446,0.0749022780361999,1.7564735849810529,0.0778101034025758
24,BX341,356.5967791,12.7854572,2.5753,85,0.1638977004289677,0.0366157664106972,0.1638977004289677,0.0366157664106972,0.4565231260547508,0.0364298311134336,0.4565231260547508,0.0364298311134336,0.5811572651345204,0.0347222019188887,0.5811572651345204,0.0347222019188887,0.7435750639661989,0.1541673117067754,0.7033419100029425,0.1543463690084073,0.8006574655269446,0.4586607651063137,0.547715465879533,0.4586607651063137,0.5465211905696175,0.6566591018965788,0.5447309793586982,0.6566591018965788,0.0,9.9e+99,0.0,9.9e+99,1.07012338856604,0.16670639339927,1.042696711966978,0.16670639339927,0.0,9.9e+99,0.0,9.9e+99,-0.0020032897114013,0.0,-0.0165917991892395,0.0,0.9746587483453764,0.0588148729683052,0.9496818250097232,0.058995227027042,0.8508724135869603,0.0600148794573892,0.8508600641538149,0.0600148794608957
25,BM113,356.592698,12.7903413,1.3248,65,0.3315541110417262,0.0259047842600045,0.3315541110417262,0.0259047842600045,0.3329513185603717,0.0302271055288358,0.3329513185603717,0.0302271055288358,0.3249349397249829,0.0285427957740412,0.3249349397249829,0.0285427957740412,0.8147321300093873,0.2035514740047109,0.8147321300093873,0.2035514740047109,0.7483281427576202,0.4521108410244606,0.7483281427576202,0.4521108410244606,0.1567095001054633,0.5825459955421666,0.1567095001054633,0.5825459955421666,0.0,9.9e+99,0.0,9.9e+99,0.7615232834883293,0.1713607301760977,0.7615232834883293,0.1713607301760977,0.0,9.9e+99,0.0,9.9e+99,5.3767970274894835e-05,0.0,5.3767970274894835e-05,0.0,0.7033643590091478,0.0465645483030544,0.7033643590091478,0.0465645483030544,0.7911839343387493,0.0418603327172687,0.7911839343387493,0.0418603327172687
26,fBM40,356.6373901,12.8068199,2.1473,55,0.1418107746778526,0.0213369968172105,0.1418107746778526,0.0213369968172105,0.2850004447017389,0.0329294495843406,0.2850004447017389,0.0329294495843406,0.385990387042489,0.0361104167864821,0.385990387042489,0.0361104167864821,0.2935679065779858,0.131123716413955,0.2400246238253464,0.1314714137803643,0.7684145128763379,0.2972725955210678,0.5823440574829091,0.2988714099097374,0.8628383073538233,0.6142565557369017,0.6391425561103404,0.6142565557369017,0.0,9.9e+99,0.0,9.9e+99,0.6124001771148992,0.1070882107133782,0.6027735860519088,0.1070882107133782,0.0,9.9e+99,0.0,9.9e+99,0.4081215007735664,0.0610797484365837,0.3897405075408802,0.061167830340889,0.5789548963481531,0.0498954888244442,0.4695220457228258,0.0530214258565324,0.0592866441702385,0.0,-0.1408136307349708,0.0
27,MD43,356.5853132,12.7824354,2.5792,56,0.1382621592353155,0.023420716125322,0.1382621592353155,0.023420716125322,0.4037194661289505,0.0307952343772022,0.4037194661289505,0.0307952343772022,0.4117726804859088,0.0312995909080702,0.4117726804859088,0.0312995909080702,0.3398761311286794,0.1643961558566916,0.3092684344233385,0.1690487794442807,0.3790956944399856,0.354275315572805,0.3168545712143339,0.3543591507162975,0.3994244116715783,0.5178387641457667,0.3990515759123465,0.5178387641457667,0.0,9.9e+99,0.0,9.9e+99,0.2813584980805236,0.1342731122785558,0.2780806339007112,0.1342731122785558,0.0,9.9e+99,0.0,9.9e+99,2.6790988316597524e-08,0.0,2.5681100743131292e-08,0.0,0.5204652294261669,0.0393433840618345,0.4957520338468666,0.0515377607038789,-0.0002585805747613,0.0,-0.0002585777640057,0.0
28,BX611,356.5888957,12.8222056,2.7561,89,0.1618107940625522,0.0302622373439112,0.1618107940625522,0.0302622373439112,0.4864599357432897,0.0417321247385161,0.4864599357432897,0.0417321247385161,0.5693311640471903,0.0381279146879241,0.5693311640471903,0.0381279146879241,0.3480620732205441,0.1718350763677129,0.3480184695148257,0.1718350959730312,0.4470273449940034,0.399409323519796,0.4454147109858129,0.3994093237447425,-0.844057450237951,0.7031494921016875,-0.844057450237951,0.7031494921016875,0.0,9.9e+99,0.0,9.9e+99,1.1112778040302131,0.2170992281258325,1.0713133214350905,0.2170992281258325,0.0,9.9e+99,0.0,9.9e+99,2.1824378377111923e-14,0.0,2.0249692615626013e-14,0.0,0.7848478599210652,0.0688753865989814,0.6825357000803853,0.143446371737113,1.0147634346270875,0.079085531752954,0.8977532013396085,0.1669355226655688
29,BM192,356.6084492,12.8256729,1.1305,140,0.6558341271448551,0.0313251436879287,0.6558341271448551,0.0313251436879287,0.7097907489352239,0.0481866912916536,0.7097907489352239,0.0481866912916536,0.7932875272543674,0.0486480525931443,0.7932875272543674,0.0486480525931443,1.944678816198581,0.1961801368491524,1.944678816198581,0.1961801368491524,1.3321966653940944,0.3943435347823059,1.3321966653940944,0.3943435347823059,2.328080918142541,0.8258873731099906,2.328080918142541,0.8258873731099906,0.0,9.9e+99,0.0,9.9e+99,2.204785525402,0.1434114069575001,2.204785525402,0.1434114069575001,0.0,9.9e+99,0.0,9.9e+99,2.3757181759883045e-08,0.0,2.3757181759883045e-08,0.0,2.1966271517297935,0.0620061905980852,2.1966271517297935,0.0620061905980852,2.146959446882961,0.1070953700746418,2.146959446882961,0.1070953700746418
